Country,Region,Number,GDP per capita,Ranking
Afghanistan,Southern Asia,2,0.382,153
Albania,Central and Eastern Europe,8.3,0.955,66
Algeria,Middle East and Northern Africa,4,1.053,130
Angola,Sub-Saharan Africa,5.7,0.847,108
Argentina,Latin America and Caribbean,6.2,1.151,95
Armenia,Central and Eastern Europe,4.7,0.861,122
Australia,Australia and New Zealand,17.4,1.444,19
Austria,Western Europe,4.2,1.45,128
Azerbaijan,Central and Eastern Europe,6,1.124,100
Bahrain,Middle East and Northern Africa,8.3,1.44,67
Bangladesh,Southern Asia,5.7,0.542,106
Belarus,Central and Eastern Europe,8,1.131,73
Belgium,Western Europe,0.5,1.425,157
Belize,Latin America and Caribbean,12.2,0.876,37
Benin,Sub-Saharan Africa,15.5,0.395,24
Bhutan,Southern Asia,4,0.853,131
Bolivia,Latin America and Caribbean,6.4,0.794,91
Bosnia and Herzegovina,Central and Eastern Europe,19.3,0.934,15
Botswana,Sub-Saharan Africa,8,1.094,74
Brazil,Latin America and Caribbean,7.8,1.088,75
Bulgaria,Central and Eastern Europe,3.4,1.113,138
Burkina Faso,Sub-Saharan Africa,9.7,0.32,52
Burundi,Sub-Saharan Africa,7.7,0.068,77
Cambodia,Southeastern Asia,3.6,0.556,137
Cameroon,Sub-Saharan Africa,10.5,0.525,45
Canada,North America,24.2,1.44,7
Ce d'Ivoire,Sub-Saharan Africa,21,0.555,13
Chad,Sub-Saharan Africa,5.8,0.422,104
Chile,Latin America and Caribbean,6,1.217,101
China,Eastern Asia,6.6,1.028,88
Colombia,Latin America and Caribbean,6,1.03,102
Comoros,Sub-Saharan Africa,0.6,0.275,156
Congo,Sub-Saharan Africa,2.6,0.771,144
Costa Rica,Latin America and Caribbean,17.8,1.069,17
Croatia,Central and Eastern Europe,13.7,1.186,31
Cyprus,Western Europe,11.9,1.319,40
Czechia,Central and Eastern Europe,14,1.309,30
Dem. Rep. Congo,Sub-Saharan Africa,4.5,0.057,126
Denmark,Western Europe,14.1,1.442,29
Dominican Rep.,Latin America and Caribbean,5,1.028,117
Ecuador,Latin America and Caribbean,10,0.973,48
Egypt,Middle East and Northern Africa,8.2,0.954,69
El Salvador,Latin America and Caribbean,9.6,0.874,54
Estonia,Central and Eastern Europe,9.2,1.28,58
Ethiopia,Sub-Saharan Africa,6.5,0.293,90
Finland,Western Europe,6.7,1.406,87
France,Western Europe,4.2,1.395,129
Gabon,Sub-Saharan Africa,5.5,1.159,111
Georgia,Central and Eastern Europe,14.4,0.838,28
Germany,Western Europe,7.7,1.448,78
Ghana,Sub-Saharan Africa,16.8,0.631,20
Greece,Western Europe,13.4,1.249,32
Guatemala,Latin America and Caribbean,2,0.835,149
Guinea,Sub-Saharan Africa,4,0.224,132
Haiti,Latin America and Caribbean,4.6,0.341,124
Honduras,Latin America and Caribbean,13,0.694,33
Hong Kong,Eastern Asia,13,1.511,34
Hungary,Central and Eastern Europe,9.3,1.241,56
Iceland,Western Europe,2,1.427,150
India,Southern Asia,10.9,0.74,43
Indonesia,Southeastern Asia,6.4,0.951,92
Iran,Middle East and Northern Africa,2.6,1.118,145
Iraq,Middle East and Northern Africa,7,1.075,86
Ireland,Western Europe,8.3,1.483,65
Israel,Middle East and Northern Africa,8.1,1.338,71
Italy,Western Europe,10.5,1.355,46
Jamaica,Latin America and Caribbean,9,0.893,60
Japan,Eastern Asia,3.2,1.38,140
Jordan,Middle East and Northern Africa,11.7,0.997,41
Kazakhstan,Central and Eastern Europe,11.5,1.229,42
Kenya,Sub-Saharan Africa,7.8,0.523,76
Kosovo,Central and Eastern Europe,15.7,0.901,23
Kuwait,Middle East and Northern Africa,5.5,1.617,112
Kyrgyzstan,Central and Eastern Europe,12,0.56,39
Laos,Southeastern Asia,4,0.68,136
Latvia,Central and Eastern Europe,15.2,1.218,25
Lebanon,Middle East and Northern Africa,9.4,1.123,55
Liberia,Sub-Saharan Africa,14.9,0.107,26
Libya,Middle East and Northern Africa,13,1.067,36
Lithuania,Central and Eastern Europe,2,1.269,151
Luxembourg,Western Europe,9.2,1.698,59
Macedonia,Central and Eastern Europe,8.5,1.019,64
Madagascar,Sub-Saharan Africa,10.7,0.28,44
Malawi,Sub-Saharan Africa,7.2,0.087,81
Malaysia,Southeastern Asia,8.2,1.251,70
Mali,Sub-Saharan Africa,7.1,0.313,83
Malta,Western Europe,4.9,1.308,121
Mauritania,Sub-Saharan Africa,7.3,0.614,80
Mauritius,Sub-Saharan Africa,9.3,1.144,57
Mexico,Latin America and Caribbean,4.7,1.115,123
Moldova,Central and Eastern Europe,1,0.692,155
Mongolia,Eastern Asia,4,0.989,133
Montenegro,Central and Eastern Europe,5.7,1.078,107
Morocco,Middle East and Northern Africa,4,0.841,134
Myanmar,Southeastern Asia,37.9,0.341,2
Namibia,Sub-Saharan Africa,5,0.933,120
Nepal,Southern Asia,5,0.446,118
Netherlands,Western Europe,2,1.465,152
New Zealand,Australia and New Zealand,6.4,1.361,93
Nicaragua,Latin America and Caribbean,16.4,0.694,21
Niger,Sub-Saharan Africa,9.8,0.133,51
Nigeria,Sub-Saharan Africa,18.7,0.752,16
North Cyprus,Western Europe,10,1.311,50
Norway,Western Europe,8.6,1.577,63
Pakistan,Southern Asia,6.3,0.688,94
Palestinian Territories,Middle East and Northern Africa,7,0.67,84
Panama,Latin America and Caribbean,2.4,1.183,147
Paraguay,Latin America and Caribbean,6,0.894,103
